,review_id,user_id,business_id,stars,useful,funny,cool,text,date,labels_3,labels_2,year
0,IykJMMZgbNcUndwf1q6ieg,3zBJUlWtPNoZ0uN83ODbyg,2bXm0SynOfxDzfrdrCyXqg,4.0,0.0,0.0,0.0,It's not chicago style pizza but it is still awsome.  A chicago themed restaurant.  Owners used to live in Chi town and now are bringing the feel of the city to the West.  Beer selection rocks!,2005-02-16 03:23:22,positive,positive,2005
1,-O5ng1XLox6uEr4uIZ8u5A,3zBJUlWtPNoZ0uN83ODbyg,3g6XqkBikTTbZmTukbeGnw,4.0,1.0,0.0,0.0,Great service.  The people really want to help you.  Excellent selection and they are open pretty late on Sundays.,2005-02-16 03:29:39,positive,positive,2005
2,g80vzN72iU03Wh0fSpq41g,3zBJUlWtPNoZ0uN83ODbyg,PP3BBaVxZLcJU54uP_wL6Q,5.0,0.0,0.0,0.0,These guys really are the king of cheese steaks.  I had two phily cheese steaks with provo and onions.,2005-02-16 04:06:26,positive,positive,2005
3,7Dcrt0Oz0hikA8obGhadrQ,XCsZ3hWa_6oP1WkWvK7pmg,U3grYFIeu6RgAAQgdriHww,5.0,0.0,0.0,0.0,Words cannot describe how much I miss this place.  The deck is right on the water and it's definitely the best place to go late afternoon as the sun sets. Not just a touristy place as it is very popular with the locals as well. Very casual atmosphere and always packed but waiting is the best part...the outside bar is a perfect place for a glass of wine and oyster shots.  Great seafood and the prices are reasonable. A definite must hit when visiting Santa Barbara.,2005-03-01 16:57:17,positive,positive,2005
4,WC9q5vhQlQkLK05kEs-vYQ,XCsZ3hWa_6oP1WkWvK7pmg,Aes-0Q_guDeYewMapFs_vg,2.0,0.0,0.0,0.0,Food is decent but is a complete tourist trap. Pretty spendy for the type of food. There are much better places I can recommend.,2005-03-01 16:59:37,negative,negative,2005
5,Q0GJ06L78nkVyNfHrd9iUg,XCsZ3hWa_6oP1WkWvK7pmg,CziOtnFSklimJnBgksDDwA,3.0,0.0,0.0,0.0,"This place gets a 3.5...great location, great prices, good italian food after a day of shopping on State Street...right on the strip next to Paseo Nuevo mall. The complimentary garlic bread is great and extremely addictive. The service is horrible but that's what people grow to know about it...hey...I keep going back!",2005-03-01 17:25:13,neutral,negative,2005
6,TYslH-CAecjJxLNs96KduA,XCsZ3hWa_6oP1WkWvK7pmg,29YqJwOGEuAWqlHZxMc1OA,5.0,0.0,0.0,0.0,"Lovely little restaurant which was converted from a house...lots of history to this place.  The patio area is romantic and the bar is fun to hang out in. Very good food and surprisingly not expensive. Amazing brunch on Sundays.  You know this place is great when Pamela Anderson, Brad Pitt, Jennifer Aniston, and Bill Belamy (heh heh) have been seen dining there.",2005-03-01 17:47:15,positive,positive,2005
7,b5IWJOAwIKwyOsOGbS-sCA,XCsZ3hWa_6oP1WkWvK7pmg,6RBZfirnzE4NahJTn1UPNA,4.0,0.0,0.0,0.0,This little hole in the wall taqueria is written about in all the travel magazines.  I'm no connoiseur of Mexican food but it was the most authentic I've had in SB. Need a car to get to.  Some may say it's overrated...but when a little shack receives so much publicity...aren't you a little curious?,2005-03-01 17:59:26,positive,positive,2005
8,hX0XEpQ0Ai1UgHEQjrWOkQ,XCsZ3hWa_6oP1WkWvK7pmg,jssubXBNkiSJIhbKuDtmpQ,4.0,0.0,0.0,0.0,This is the original location for this great teriyaki house (the other two are in Goleta and Isla Vista...oh my!) Love the salmon teriyaki and it's cheap!  Can't really say about their sushi though.,2005-03-01 19:33:35,positive,positive,2005
9,sg2Mc_sanqnZ__lXKZk3hA,XCsZ3hWa_6oP1WkWvK7pmg,bSfDI69RkUrodsA1QwgnOg,5.0,0.0,0.0,0.0,"Oh the Sh*tty Kitty...by far the best bar in Santa Barbara...Very retro, very vinyl. Great music and fun crowd...not too young and not too old.",2005-03-01 19:35:44,positive,positive,2005
